Order_ID,Batch_Number,Product_Name,Category,Dosage_Form,Manufacturer,Warehouse,Hospital_Client,City,Logistics_Company,Order_Date,Dispatch_Date,Delivery_Date,Days_To_Deliver,Delivery_Status,Quantity_Units,Unit_Price_EUR,Total_Value_EUR,Discount_Percentage,Final_Value_EUR,Payment_Status,Cold_Chain_Required,Temperature_Zone,Damage_Reported,Return_Reason,Expiry_Date,Stock_Level,Reorder_Point,Lead_Time_Days,Compliance_Status
ORD000011,BATCH00011,Morphine 10mg,Pain Relief,Injection,Sanofi,Frankfurt Depot,Munich Clinic,Frankfurt,FedEx Health,12-05-2022,15-05-2022,Not Delivered Yet,Not Applicable,In Transit,222,294.36,65347.92,4.6,62341.92,Paid,Yes,Refrigerated (2-8°C),Yes,Not Applicable,05-08-2024,15103,1052,1,Compliant
ORD000012,BATCH00012,Ibuprofen 400mg,Anti-inflammatory,Tablet,Sanofi,Munich Hub,Stuttgart Health Center,Munich,BioLogistics GmbH,15-03-2023,20-03-2023,Cancelled,Not Applicable,Cancelled,1133,361.81,409930.73,17.6,337782.92,Pending,No,Ambient (15-25°C),No,Not Applicable,07-06-2027,26777,2059,2,Compliant
ORD000013,BATCH00013,COVID-19 Vaccine,Vaccine,Injection,Abbott,Frankfurt Depot,Dresden Hospital,Frankfurt,MedExpress,21-07-2022,22-07-2022,26-07-2022,5,Delivered,2829,400.4,1132731.6,2.2,1107811.5,Pending,Yes,Refrigerated (2-8°C),No,Not Applicable,16-08-2024,9286,3956,3,Compliant
ORD000014,BATCH00014,Morphine 10mg,Pain Relief,Injection,AstraZeneca,Leipzig Store,Munich Clinic,Leipzig,MedExpress,14-04-2022,19-04-2022,26-04-2022,12,Delivered,170,484.51,82366.7,18.5,67128.86,Pending,Yes,Refrigerated (2-8°C),No,Not Applicable,10-08-2024,31646,2251,14,Non-Compliant
ORD000015,BATCH00015,Amoxicillin 250mg,Antibiotic,Capsule,Roche,Frankfurt Depot,Berlin University Hospital,Frankfurt,MedExpress,20-07-2024,23-07-2024,Not Delivered Yet,Not Applicable,Pending,3515,348.45,1224801.75,14.6,1045980.69,Paid,No,Refrigerated (2-8°C),No,Not Applicable,31-08-2028,12545,2930,4,Compliant
ORD000016,BATCH00016,Fluoxetine 20mg,Antidepressant,Capsule,Sanofi,Berlin Central,Cologne Medical Hub,Berlin,DHL Medical,11-04-2025,15-04-2025,20-04-2025,9,Delivered,4400,79.14,348216,19.2,281358.53,Paid,No,Ambient (15-25°C),No,Not Applicable,22-09-2026,44350,2426,7,Compliant
ORD000017,BATCH00017,Fluoxetine 20mg,Antidepressant,Capsule,AstraZeneca,Stuttgart Center,Bremen Health Institute,Stuttgart,DHL Medical,08-05-2024,13-05-2024,18-05-2024,10,Delivered,4332,158.53,686751.96,5.2,651040.86,Paid,No,Refrigerated (2-8°C),No,Not Applicable,07-02-2029,26038,1572,11,Compliant
ORD000018,BATCH00018,Morphine 10mg,Pain Relief,Injection,Abbott,Leipzig Store,Munich Clinic,Leipzig,DHL Medical,27-02-2025,28-02-2025,Cancelled,Not Applicable,Cancelled,650,269.05,174882.5,10.1,157219.37,Paid,Yes,Refrigerated (2-8°C),No,Not Applicable,25-11-2026,16109,3527,5,Compliant
ORD000019,BATCH00019,Morphine 10mg,Pain Relief,Injection,Sanofi,Cologne Warehouse,Stuttgart Health Center,Cologne,ColdChain Logistics,09-02-2025,12-02-2025,18-02-2025,9,Delivered,898,469.5,421611,2.7,410227.5,Overdue,Yes,Refrigerated (2-8°C),No,Not Applicable,03-10-2026,10287,2731,5,Under Review
ORD000020,BATCH00020,Cetirizine 10mg,Allergy,Tablet,Abbott,Munich Hub,Stuttgart Health Center,Munich,ColdChain Logistics,30-05-2023,31-05-2023,Cancelled,Not Applicable,Cancelled,806,317.33,255767.98,16.6,213310.5,Paid,No,Ambient (15-25°C),No,Not Applicable,27-08-2024,41853,2645,3,Non-Compliant
ORD000021,BATCH00021,Losartan 50mg,Hypertension,Tablet,Bayer,Stuttgart Center,Berlin University Hospital,Stuttgart,DHL Medical,02-11-2022,07-11-2022,08-11-2022,6,Delivered,3074,291.46,895948.04,3,869069.6,Paid,No,Ambient (15-25°C),No,Not Applicable,20-07-2024,23549,2220,11,Compliant
ORD000022,BATCH00022,Metformin 500mg,Diabetes,Tablet,Abbott,Leipzig Store,Hanover Medical Center,Leipzig,MedExpress,30-04-2023,02-05-2023,09-05-2023,9,Delivered,1500,440.77,661155,0.5,657849.22,Paid,No,Ambient (15-25°C),No,Not Applicable,10-03-2026,17585,1804,13,Compliant
ORD000023,BATCH00023,Vitamin D3 1000IU,Supplement,Tablet,Pfizer,Leipzig Store,Nuremberg Clinic,Leipzig,FedEx Health,31-07-2024,03-08-2024,Not Delivered Yet,Not Applicable,In Transit,2550,410.36,1046418,17.4,864341.27,Pending,No,Ambient (15-25°C),No,Not Applicable,30-10-2026,21612,2782,14,Compliant
ORD000024,BATCH00024,Insulin Glargine,Diabetes,Injection,Abbott,Cologne Warehouse,Hanover Medical Center,Cologne,MedExpress,26-02-2022,27-02-2022,11-03-2022,13,Delayed,1512,290.5,439236,19.7,352706.51,Pending,Yes,Refrigerated (2-8°C),No,Not Applicable,15-05-2023,22754,3069,7,Under Review
ORD000025,BATCH00025,Ciprofloxacin 500mg,Antibiotic,Tablet,Novartis,Frankfurt Depot,Bremen Health Institute,Frankfurt,FedEx Health,01-04-2022,05-04-2022,Not Delivered Yet,Not Applicable,Pending,63,260.2,16392.6,16.1,13753.39,Paid,No,Refrigerated (2-8°C),No,Not Applicable,05-02-2027,23969,4033,2,Compliant
ORD000026,BATCH00026,Prednisolone 5mg,Steroid,Tablet,Abbott,Cologne Warehouse,Munich Clinic,Cologne,BioLogistics GmbH,04-11-2024,07-11-2024,Not Delivered Yet,Not Applicable,Pending,3395,163.43,554844.85,13.9,477721.42,Pending,No,Ambient (15-25°C),No,Not Applicable,13-12-2028,44488,1925,10,Under Review
ORD000027,BATCH00027,Salbutamol Inhaler,Respiratory,Inhaler,Bayer,Stuttgart Center,Berlin University Hospital,Stuttgart,UPS Pharma,07-03-2023,11-03-2023,Not Delivered Yet,Not Applicable,Pending,4801,303.53,1457247.53,6.4,1363983.69,Overdue,No,Ambient (15-25°C),No,Not Applicable,27-08-2026,31110,1890,11,Compliant
ORD000028,BATCH00028,Salbutamol Inhaler,Respiratory,Inhaler,Sanofi,Cologne Warehouse,Bremen Health Institute,Cologne,UPS Pharma,27-04-2023,30-04-2023,02-05-2023,5,Delivered,1681,74.1,124562.1,0.9,123441.04,Paid,No,Refrigerated (2-8°C),No,Not Applicable,25-12-2026,29946,3895,11,Under Review
ORD000029,BATCH00029,Cetirizine 10mg,Allergy,Tablet,Bayer,Frankfurt Depot,Dresden Hospital,Frankfurt,FedEx Health,12-01-2022,13-01-2022,20-01-2022,8,Delivered,3532,109.81,387848.92,16.1,325405.24,Overdue,No,Refrigerated (2-8°C),No,Not Applicable,07-12-2026,16431,1494,8,Compliant
ORD000030,BATCH00030,Morphine 10mg,Pain Relief,Injection,Sanofi,Stuttgart Center,Bremen Health Institute,Stuttgart,UPS Pharma,30-10-2024,03-11-2024,Cancelled,Not Applicable,Cancelled,4538,223.23,1013017.74,3.2,980601.17,Paid,Yes,Refrigerated (2-8°C),No,Not Applicable,28-06-2028,41889,2771,13,Under Review
ORD000031,BATCH00031,Dexamethasone 4mg,Steroid,Tablet,AstraZeneca,Hamburg Port,Nuremberg Clinic,Hamburg,DHL Medical,26-04-2023,29-04-2023,Not Delivered Yet,Not Applicable,Pending,2801,160.19,448692.19,10.8,400233.43,Paid,No,Ambient (15-25°C),No,Not Applicable,02-02-2025,46395,2252,2,Non-Compliant
ORD000032,BATCH00032,COVID-19 Vaccine,Vaccine,Injection,Abbott,Stuttgart Center,Nuremberg Clinic,Stuttgart,MedExpress,28-02-2023,04-03-2023,08-03-2023,8,Delivered,4834,473.06,2286772.04,0.4,2277624.95,Paid,Yes,Refrigerated (2-8°C),No,Not Applicable,22-05-2027,23152,2946,13,Non-Compliant
ORD000033,BATCH00033,COVID-19 Vaccine,Vaccine,Injection,Sanofi,Cologne Warehouse,Hanover Medical Center,Cologne,ColdChain Logistics,26-09-2024,28-09-2024,Not Delivered Yet,Not Applicable,In Transit,2285,218.2,498587,0.6,495595.48,Pending,Yes,Refrigerated (2-8°C),No,Not Applicable,15-08-2027,47559,1852,14,Non-Compliant
ORD000034,BATCH00034,Atorvastatin 10mg,Cholesterol,Tablet,Merck,Stuttgart Center,Berlin University Hospital,Stuttgart,MedExpress,21-06-2022,25-06-2022,27-06-2022,6,Delivered,3832,91.27,349746.64,5.2,331559.81,Paid,No,Ambient (15-25°C),No,Not Applicable,21-04-2025,49987,3605,5,Non-Compliant
ORD000035,BATCH00035,Insulin Glargine,Diabetes,Injection,Novartis,Frankfurt Depot,Berlin University Hospital,Frankfurt,BioLogistics GmbH,18-12-2023,20-12-2023,26-12-2023,8,Delivered,612,390.73,239126.76,13,208040.28,Paid,Yes,Refrigerated (2-8°C),No,Not Applicable,18-02-2025,1435,1748,4,Compliant
ORD000036,BATCH00036,Dexamethasone 4mg,Steroid,Tablet,Novartis,Stuttgart Center,Frankfurt General Hospital,Stuttgart,MedExpress,26-01-2024,28-01-2024,Not Delivered Yet,Not Applicable,Pending,988,389.01,384341.88,3.3,371658.6,Paid,No,Ambient (15-25°C),No,Not Applicable,24-10-2026,37835,3574,7,Compliant
ORD000037,BATCH00037,Ibuprofen 400mg,Anti-inflammatory,Tablet,Merck,Cologne Warehouse,Frankfurt General Hospital,Cologne,DHL Medical,05-09-2022,10-09-2022,Not Delivered Yet,Not Applicable,Pending,386,173.93,67136.98,8.6,61363.2,Paid,No,Ambient (15-25°C),No,Not Applicable,02-10-2025,929,3941,14,Non-Compliant
ORD000038,BATCH00038,Metformin 500mg,Diabetes,Tablet,Bayer,Hamburg Port,Nuremberg Clinic,Hamburg,BioLogistics GmbH,10-06-2024,12-06-2024,18-06-2024,8,Delivered,4324,482.75,2087411,5.4,1974690.81,Overdue,No,Ambient (15-25°C),No,Not Applicable,16-06-2028,17689,3140,14,Compliant
ORD000039,BATCH00039,Ibuprofen 400mg,Anti-inflammatory,Tablet,Johnson & Johnson,Frankfurt Depot,Frankfurt General Hospital,Frankfurt,MedExpress,20-11-2023,21-11-2023,00-01-1900,Not Applicable,Returned,4099,425.55,1744329.45,3.6,1681533.59,Paid,No,Ambient (15-25°C),No,Expired,27-01-2026,39169,2763,9,Compliant
ORD000040,BATCH00040,Ciprofloxacin 500mg,Antibiotic,Tablet,AstraZeneca,Berlin Central,Frankfurt General Hospital,Berlin,BioLogistics GmbH,27-09-2024,02-10-2024,00-01-1900,Not Applicable,Returned,2018,345.46,697138.28,12.9,607207.44,Paid,No,Ambient (15-25°C),No,Damaged,28-06-2028,14622,3812,12,Compliant
ORD000041,BATCH00041,Salbutamol Inhaler,Respiratory,Inhaler,Merck,Hamburg Port,Nuremberg Clinic,Hamburg,ColdChain Logistics,21-05-2024,26-05-2024,08-06-2024,18,Delayed,2932,351.58,1030832.56,5.4,975167.6,Paid,No,Ambient (15-25°C),No,Not Applicable,17-10-2026,20779,1479,12,Under Review
ORD000042,BATCH00042,Omeprazole 20mg,Gastric,Capsule,AstraZeneca,Munich Hub,Nuremberg Clinic,Munich,UPS Pharma,25-07-2022,27-07-2022,Not Delivered Yet,Not Applicable,Pending,2476,114.13,282585.88,3.6,272412.79,Paid,No,Refrigerated (2-8°C),No,Not Applicable,22-08-2023,3082,946,9,Compliant
ORD000043,BATCH00043,Atorvastatin 10mg,Cholesterol,Tablet,GSK,Berlin Central,Berlin University Hospital,Berlin,ColdChain Logistics,19-08-2024,23-08-2024,Not Delivered Yet,Not Applicable,Pending,3658,170.68,624347.44,19.3,503848.38,Paid,No,Ambient (15-25°C),No,Not Applicable,18-01-2027,26360,4528,2,Under Review
ORD000044,BATCH00044,Amoxicillin 250mg,Antibiotic,Capsule,Roche,Munich Hub,Bremen Health Institute,Munich,UPS Pharma,24-05-2023,25-05-2023,30-05-2023,6,Delivered,3459,303.36,1049322.24,15.8,883529.33,Pending,No,Refrigerated (2-8°C),No,Not Applicable,28-08-2025,19587,4012,5,Under Review
ORD000045,BATCH00045,Prednisolone 5mg,Steroid,Tablet,Pfizer,Stuttgart Center,Munich Clinic,Stuttgart,FedEx Health,26-06-2023,27-06-2023,Not Delivered Yet,Not Applicable,In Transit,1336,120.31,160734.16,11,143053.4,Overdue,No,Ambient (15-25°C),No,Not Applicable,11-05-2025,30896,2885,1,Compliant
ORD000046,BATCH00046,Salbutamol Inhaler,Respiratory,Inhaler,Johnson & Johnson,Cologne Warehouse,Nuremberg Clinic,Cologne,DHL Medical,26-06-2023,01-07-2023,Not Delivered Yet,Not Applicable,In Transit,1670,212.86,355476.2,10.9,316729.29,Paid,No,Ambient (15-25°C),No,Not Applicable,11-02-2028,4779,988,3,Compliant
ORD000047,BATCH00047,Prednisolone 5mg,Steroid,Tablet,Merck,Hamburg Port,Nuremberg Clinic,Hamburg,DHL Medical,15-09-2023,19-09-2023,Cancelled,Not Applicable,Cancelled,2280,250.49,571117.2,9.9,514576.6,Pending,No,Refrigerated (2-8°C),Yes,Not Applicable,25-02-2025,48238,3140,10,Compliant
ORD000048,BATCH00048,Paracetamol 500mg,Pain Relief,Tablet,Novartis,Munich Hub,Bremen Health Institute,Munich,ColdChain Logistics,06-07-2023,11-07-2023,12-07-2023,6,Delivered,1485,235.52,349747.2,13,304280.06,Pending,No,Ambient (15-25°C),No,Not Applicable,25-01-2026,41701,4528,2,Non-Compliant
ORD000049,BATCH00049,Warfarin 5mg,Blood Thinner,Tablet,Bayer,Hamburg Port,Cologne Medical Hub,Hamburg,BioLogistics GmbH,26-11-2022,29-11-2022,03-12-2022,7,Delivered,4108,144.46,593441.68,18.9,481281.2,Paid,No,Ambient (15-25°C),No,Not Applicable,26-12-2026,16641,3148,2,Non-Compliant
ORD000050,BATCH00050,Ciprofloxacin 500mg,Antibiotic,Tablet,Pfizer,Cologne Warehouse,Hanover Medical Center,Cologne,MedExpress,22-04-2022,24-04-2022,00-01-1900,Not Applicable,Returned,4297,181.21,778659.37,15.1,661081.81,Paid,No,Ambient (15-25°C),No,Wrong Item,23-10-2026,36093,1573,5,Non-Compliant
ORD000051,BATCH00051,Dexamethasone 4mg,Steroid,Tablet,Novartis,Berlin Central,Bremen Health Institute,Berlin,FedEx Health,29-09-2023,04-10-2023,05-10-2023,6,Delivered,4574,204.29,934422.46,4.5,892373.45,Paid,No,Ambient (15-25°C),No,Not Applicable,18-05-2025,32761,2890,9,Compliant
ORD000052,BATCH00052,COVID-19 Vaccine,Vaccine,Injection,GSK,Frankfurt Depot,Frankfurt General Hospital,Frankfurt,MedExpress,25-02-2024,27-02-2024,03-03-2024,7,Delivered,4213,373.27,1572586.51,2.7,1530126.67,Pending,Yes,Refrigerated (2-8°C),No,Not Applicable,16-07-2025,22374,4659,5,Compliant
ORD000053,BATCH00053,Salbutamol Inhaler,Respiratory,Inhaler,Johnson & Johnson,Leipzig Store,Bremen Health Institute,Leipzig,ColdChain Logistics,01-11-2022,05-11-2022,Cancelled,Not Applicable,Cancelled,4462,242.43,1081722.66,6.6,1010328.96,Paid,No,Ambient (15-25°C),No,Not Applicable,17-11-2026,12463,2456,10,Non-Compliant
ORD000054,BATCH00054,Azithromycin 500mg,Antibiotic,Tablet,Bayer,Berlin Central,Cologne Medical Hub,Berlin,BioLogistics GmbH,20-02-2024,24-02-2024,Cancelled,Not Applicable,Cancelled,1296,247.92,321304.32,0.7,319055.19,Paid,No,Refrigerated (2-8°C),No,Not Applicable,14-12-2027,28955,1316,9,Non-Compliant
ORD000055,BATCH00055,Paracetamol 500mg,Pain Relief,Tablet,Roche,Frankfurt Depot,Hamburg Medical Center,Frankfurt,DHL Medical,27-06-2023,30-06-2023,Cancelled,Not Applicable,Cancelled,3306,325.09,1074747.54,17,892040.46,Paid,No,Refrigerated (2-8°C),No,Not Applicable,07-04-2028,41177,4497,14,Under Review
ORD000056,BATCH00056,Amoxicillin 250mg,Antibiotic,Capsule,Merck,Berlin Central,Frankfurt General Hospital,Berlin,BioLogistics GmbH,11-04-2023,12-04-2023,Not Delivered Yet,Not Applicable,Pending,3605,489.18,1763493.9,15.2,1495442.83,Paid,No,Ambient (15-25°C),No,Not Applicable,21-03-2028,1997,876,6,Compliant
ORD000057,BATCH00057,Salbutamol Inhaler,Respiratory,Inhaler,Abbott,Hamburg Port,Dresden Hospital,Hamburg,FedEx Health,23-12-2024,27-12-2024,Not Delivered Yet,Not Applicable,In Transit,4686,341.06,1598207.16,3.6,1540671.7,Pending,No,Ambient (15-25°C),No,Not Applicable,16-12-2026,40713,2472,8,Under Review
ORD000058,BATCH00058,Atorvastatin 10mg,Cholesterol,Tablet,AstraZeneca,Frankfurt Depot,Stuttgart Health Center,Frankfurt,MedExpress,20-01-2022,24-01-2022,Not Delivered Yet,Not Applicable,Pending,2406,338.97,815561.82,3.2,789463.84,Paid,No,Ambient (15-25°C),No,Not Applicable,12-07-2025,41973,3975,12,Compliant
ORD000059,BATCH00059,Morphine 10mg,Pain Relief,Injection,Johnson & Johnson,Munich Hub,Dresden Hospital,Munich,MedExpress,01-05-2023,05-05-2023,10-05-2023,9,Delivered,2990,287.62,859983.8,19.9,688847.02,Pending,Yes,Refrigerated (2-8°C),Yes,Not Applicable,25-12-2025,18088,566,10,Compliant
ORD000060,BATCH00060,Prednisolone 5mg,Steroid,Tablet,GSK,Leipzig Store,Stuttgart Health Center,Leipzig,FedEx Health,25-03-2023,27-03-2023,13-04-2023,19,Delayed,2103,339.04,713001.12,14.4,610328.96,Paid,No,Refrigerated (2-8°C),No,Not Applicable,04-12-2027,41221,822,5,Non-Compliant
ORD000061,BATCH00061,Amoxicillin 250mg,Antibiotic,Capsule,Merck,Hamburg Port,Hamburg Medical Center,Hamburg,DHL Medical,01-11-2023,05-11-2023,Not Delivered Yet,Not Applicable,Pending,1488,100.8,149990.4,15.7,126441.91,Paid,No,Refrigerated (2-8°C),No,Not Applicable,19-11-2026,10883,2605,14,Non-Compliant
ORD000062,BATCH00062,Salbutamol Inhaler,Respiratory,Inhaler,Abbott,Leipzig Store,Munich Clinic,Leipzig,MedExpress,16-10-2022,18-10-2022,25-10-2022,9,Delivered,3305,483.65,1598463.25,16.1,1341110.67,Paid,No,Ambient (15-25°C),No,Not Applicable,03-11-2025,17431,4895,2,Non-Compliant
ORD000063,BATCH00063,Warfarin 5mg,Blood Thinner,Tablet,Johnson & Johnson,Stuttgart Center,Dresden Hospital,Stuttgart,BioLogistics GmbH,10-08-2022,12-08-2022,27-08-2022,17,Delayed,255,309.96,79039.8,18.9,64101.28,Paid,No,Refrigerated (2-8°C),No,Not Applicable,11-06-2025,41741,4303,12,Compliant
ORD000064,BATCH00064,COVID-19 Vaccine,Vaccine,Injection,Novartis,Munich Hub,Berlin University Hospital,Munich,DHL Medical,05-10-2024,06-10-2024,Not Delivered Yet,Not Applicable,Pending,846,117.78,99641.88,10.8,88880.56,Overdue,Yes,Refrigerated (2-8°C),No,Not Applicable,09-12-2027,27567,1765,7,Compliant
ORD000065,BATCH00065,Dexamethasone 4mg,Steroid,Tablet,Merck,Frankfurt Depot,Stuttgart Health Center,Frankfurt,DHL Medical,21-03-2023,25-03-2023,09-04-2023,19,Delayed,1984,427.8,848755.2,2,831780.1,Paid,No,Ambient (15-25°C),No,Not Applicable,23-01-2028,4068,3761,5,Compliant
ORD000066,BATCH00066,Metformin 500mg,Diabetes,Tablet,GSK,Berlin Central,Frankfurt General Hospital,Berlin,BioLogistics GmbH,14-04-2022,17-04-2022,19-04-2022,5,Delivered,1081,393.6,425481.6,4.1,408036.85,Paid,No,Ambient (15-25°C),No,Not Applicable,23-05-2026,21632,1708,13,Under Review
ORD000067,BATCH00067,Paracetamol 500mg,Pain Relief,Tablet,Johnson & Johnson,Leipzig Store,Hamburg Medical Center,Leipzig,FedEx Health,24-12-2022,25-12-2022,Not Delivered Yet,Not Applicable,Pending,261,66.34,17314.74,7.2,16068.08,Paid,No,Refrigerated (2-8°C),No,Not Applicable,24-04-2025,17491,929,3,Non-Compliant
ORD000068,BATCH00068,Ciprofloxacin 500mg,Antibiotic,Tablet,Novartis,Cologne Warehouse,Munich Clinic,Cologne,MedExpress,12-01-2024,17-01-2024,Cancelled,Not Applicable,Cancelled,4913,54.97,270067.61,10.1,242790.78,Overdue,No,Ambient (15-25°C),No,Not Applicable,23-06-2028,19867,4252,11,Compliant
ORD000069,BATCH00069,Amoxicillin 250mg,Antibiotic,Capsule,GSK,Leipzig Store,Dresden Hospital,Leipzig,MedExpress,01-10-2024,05-10-2024,06-10-2024,5,Delivered,711,161.39,114748.29,3,111305.84,Overdue,No,Ambient (15-25°C),No,Not Applicable,16-06-2026,36037,3163,7,Under Review
ORD000070,BATCH00070,Ciprofloxacin 500mg,Antibiotic,Tablet,Johnson & Johnson,Frankfurt Depot,Hanover Medical Center,Frankfurt,ColdChain Logistics,23-07-2022,24-07-2022,00-01-1900,Not Applicable,Returned,4566,360.56,1646316.96,4.3,1575525.33,Pending,No,Ambient (15-25°C),No,Quality Issue,01-02-2026,27362,1278,6,Non-Compliant
ORD000071,BATCH00071,Lisinopril 10mg,Hypertension,Tablet,Johnson & Johnson,Hamburg Port,Hamburg Medical Center,Hamburg,BioLogistics GmbH,18-05-2022,19-05-2022,Cancelled,Not Applicable,Cancelled,749,47.07,35255.43,1.9,34585.58,Overdue,No,Ambient (15-25°C),No,Not Applicable,19-06-2025,36904,3200,11,Compliant
ORD000072,BATCH00072,COVID-19 Vaccine,Vaccine,Injection,Abbott,Leipzig Store,Dresden Hospital,Leipzig,BioLogistics GmbH,13-08-2023,18-08-2023,21-08-2023,8,Delivered,2930,52.25,153092.5,10.1,137630.16,Paid,Yes,Refrigerated (2-8°C),No,Not Applicable,24-06-2025,7192,3368,14,Under Review
ORD000073,BATCH00073,Warfarin 5mg,Blood Thinner,Tablet,Novartis,Leipzig Store,Stuttgart Health Center,Leipzig,ColdChain Logistics,28-05-2024,02-06-2024,Not Delivered Yet,Not Applicable,In Transit,4610,13.61,62742.1,18.6,51072.07,Paid,No,Ambient (15-25°C),Yes,Not Applicable,17-04-2029,46152,3031,6,Compliant
ORD000074,BATCH00074,Paracetamol 500mg,Pain Relief,Tablet,Roche,Leipzig Store,Hamburg Medical Center,Leipzig,ColdChain Logistics,23-05-2022,25-05-2022,00-01-1900,Not Applicable,Returned,301,46.33,13945.33,10.6,12467.13,Paid,No,Ambient (15-25°C),No,Wrong Item,01-07-2025,20523,3157,13,Under Review
ORD000075,BATCH00075,Prednisolone 5mg,Steroid,Tablet,Novartis,Berlin Central,Hamburg Medical Center,Berlin,FedEx Health,17-06-2022,20-06-2022,24-06-2022,7,Delivered,3523,243.09,856406.07,8.8,781042.34,Paid,No,Ambient (15-25°C),No,Not Applicable,27-12-2024,22721,4021,2,Compliant
ORD000076,BATCH00076,Fluoxetine 20mg,Antidepressant,Capsule,GSK,Stuttgart Center,Stuttgart Health Center,Stuttgart,DHL Medical,20-03-2024,25-03-2024,Not Delivered Yet,Not Applicable,In Transit,498,4.34,2161.32,6,2031.64,Paid,No,Ambient (15-25°C),No,Not Applicable,26-05-2026,21603,1482,1,Non-Compliant
ORD000077,BATCH00077,COVID-19 Vaccine,Vaccine,Injection,Roche,Munich Hub,Dresden Hospital,Munich,ColdChain Logistics,21-10-2024,26-10-2024,Not Delivered Yet,Not Applicable,In Transit,2951,36.5,107711.5,17.2,89185.12,Pending,Yes,Refrigerated (2-8°C),No,Not Applicable,15-01-2026,5202,3064,10,Non-Compliant
